Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,24.500000,25.000000,21.250000,22.200001,22.005173,359700
2020-02-21,21.940001,22.020000,21.330000,21.900000,21.707804,182700
2020-02-24,21.450001,21.559999,20.370001,20.530001,20.349831,137500
2020-02-25,20.500000,20.700001,20.190001,20.309999,20.131760,204500
2020-02-26,20.480000,21.230000,20.320000,21.100000,20.914827,186800
2020-02-27,21.090000,21.500000,20.639999,20.830000,20.647196,202700
2020-02-28,20.500000,21.190001,20.500000,21.150000,20.964386,192700
2020-03-02,21.250000,21.379999,20.080000,20.299999,20.121847,167300
2020-03-03,20.230000,20.400000,19.330000,19.549999,19.378428,200300
2020-03-04,19.700001,20.370001,19.450001,20.299999,20.121847,182300
2020-03-05,20.350000,21.120001,20.240000,20.900000,20.716581,161200
2020-03-06,20.490000,20.940001,20.170000,20.600000,20.419214,153900
2020-03-09,20.030001,20.320000,19.100000,19.299999,19.130623,176200
2020-03-10,19.620001,19.940001,18.230000,18.830000,18.664747,337100
2020-03-11,18.430000,18.500000,16.920000,17.330000,17.177912,143100
2020-03-12,16.400000,17.549999,15.670000,15.710000,15.572129,200300
2020-03-13,16.209999,17.100000,15.610000,16.780001,16.632740,278300
2020-03-16,15.470000,16.000000,14.010000,14.070000,13.946521,195700
2020-03-17,14.350000,16.100000,14.080000,15.630000,15.492831,189000
2020-03-18,15.130000,16.670000,14.920000,16.170000,16.028091,340300
2020-03-19,16.620001,18.150000,14.910000,15.170000,15.036868,247400
2020-03-20,15.340000,16.740000,15.340000,15.460000,15.324323,272800
2020-03-23,15.930000,16.680000,14.050000,14.100000,13.976258,269200
2020-03-24,14.600000,15.130000,13.930000,14.990000,14.858447,150100
2020-03-25,15.050000,15.670000,14.580000,14.740000,14.610641,181300
2020-03-26,14.810000,15.390000,14.020000,14.240000,14.115029,247400
2020-03-27,14.040000,15.750000,13.600000,15.510000,15.373884,260400
2020-03-30,16.260000,17.930000,15.960000,17.090000,16.940020,380200
2020-03-31,17.820000,17.850000,16.020000,16.150000,16.008268,237000
2020-04-01,15.950000,16.379999,15.360000,15.720000,15.582041,189400
2020-04-02,15.400000,15.870000,14.620000,14.900000,14.769237,170800
2020-04-03,14.990000,15.110000,13.920000,13.960000,13.837487,146600
2020-04-06,14.220000,14.810000,13.710000,14.230000,14.105117,413100
2020-04-07,14.510000,15.160000,14.410000,14.730000,14.600729,383400
2020-04-08,14.880000,15.470000,14.610000,15.080000,14.947658,225000
2020-04-09,15.330000,15.880000,15.260000,15.720000,15.582041,164900
2020-04-13,15.660000,15.780000,15.010000,15.190000,15.056691,135400
2020-04-14,15.700000,15.890000,15.000000,15.400000,15.264849,231100
2020-04-15,15.070000,15.410000,14.230000,14.490000,14.362836,188300
2020-04-16,14.560000,14.590000,13.540000,13.800000,13.678891,203200
2020-04-17,14.070000,15.120000,14.050000,14.960000,14.828711,227200
2020-04-20,14.670000,15.410000,14.430000,15.210000,15.076517,160800
2020-04-21,14.710000,15.100000,14.340000,14.850000,14.719677,188400
2020-04-22,15.080000,15.080000,14.620000,14.830000,14.699851,113600
2020-04-23,14.970000,15.220000,14.750000,14.990000,14.858447,93700
2020-04-24,15.140000,15.160000,14.680000,14.750000,14.620554,87400
2020-04-27,14.750000,15.410000,14.750000,15.110000,14.977394,364800
2020-04-28,15.500000,15.950000,15.300000,15.910000,15.770373,145300
2020-04-29,16.190001,17.350000,16.150000,17.280001,17.128351,279600
2020-04-30,16.780001,16.830000,14.550000,15.020000,14.888186,653000
2020-05-01,14.700000,15.070000,14.600000,14.810000,14.680028,153600
2020-05-04,14.600000,15.040000,14.240000,14.770000,14.640379,187000
2020-05-05,15.100000,15.440000,14.660000,14.770000,14.640379,190800
2020-05-06,15.000000,15.320000,14.880000,15.010000,14.878272,201600
2020-05-07,15.280000,15.390000,14.930000,15.270000,15.135991,179100
2020-05-08,15.600000,15.980000,15.300000,15.860000,15.798408,128000
2020-05-11,15.980000,16.020000,15.470000,15.840000,15.778486,170900
2020-05-12,15.830000,15.880000,15.480000,15.500000,15.439806,165900
2020-05-13,15.360000,15.500000,14.260000,14.470000,14.413806,491200
2020-05-14,14.110000,14.320000,13.840000,14.270000,14.214583,194100
2020-05-15,14.240000,14.450000,14.110000,14.380000,14.324156,107100
2020-05-18,14.950000,15.520000,14.780000,15.320000,15.260505,138400
2020-05-19,15.400000,16.389999,15.270000,15.790000,15.728680,286800
2020-05-20,17.360001,19.980000,17.299999,19.270000,19.195166,646800
2020-05-21,19.200001,19.219999,18.330000,18.600000,18.527767,267000
2020-05-22,18.730000,18.969999,18.230000,18.490000,18.418194,155600
2020-05-26,19.070000,19.290001,18.430000,18.459999,18.388309,148500
2020-05-27,18.490000,19.160000,17.959999,18.940001,18.866447,121100
2020-05-28,19.150000,19.320000,18.400000,18.520000,18.448078,119400
2020-05-29,18.260000,18.780001,18.139999,18.719999,18.647301,178500
2020-06-01,18.920000,18.930000,18.350000,18.370001,18.298662,178300
2020-06-02,18.370001,18.910000,18.320000,18.670000,18.597496,199600
2020-06-03,19.090000,20.090000,19.040001,19.920000,19.842642,213900
2020-06-04,19.900000,19.900000,19.000000,19.299999,19.225048,140100
2020-06-05,19.600000,20.020000,19.540001,19.799999,19.723106,156500
2020-06-08,20.170000,20.990000,19.959999,20.889999,20.808874,146700
2020-06-09,20.510000,20.629999,19.670000,20.240000,20.161398,178100
2020-06-10,20.389999,20.840000,19.600000,19.670000,19.593613,119100
2020-06-11,18.990000,19.080000,18.280001,18.370001,18.298662,202800
2020-06-12,19.080000,19.100000,18.080000,18.740000,18.667223,163300
2020-06-15,18.330000,19.420000,18.209999,19.120001,19.045748,141200
2020-06-16,19.500000,19.629999,18.790001,19.459999,19.384426,167000
2020-06-17,19.450001,19.450001,18.820000,18.990000,18.916252,99000
2020-06-18,18.830000,19.280001,18.830000,19.170000,19.095554,156000
2020-06-19,19.360001,19.389999,18.660000,19.120001,19.045748,213100
2020-06-22,19.260000,19.260000,18.540001,18.980000,18.906292,203100
2020-06-23,19.219999,19.219999,18.639999,18.670000,18.597496,91900
2020-06-24,18.480000,18.540001,18.080000,18.110001,18.039671,160700
2020-06-25,18.059999,18.059999,17.670000,18.020000,17.950020,127300
2020-06-26,17.799999,17.900000,17.430000,17.770000,17.700991,229100
2020-06-29,18.010000,18.450001,17.809999,18.250000,18.179127,140300
2020-06-30,18.090000,18.730000,17.969999,18.120001,18.049633,181500
2020-07-01,18.139999,18.209999,17.629999,17.820000,17.750795,133300
2020-07-02,18.180000,18.350000,17.570000,17.660000,17.591417,91400
2020-07-06,18.150000,18.150000,17.580000,17.920000,17.850409,126800
2020-07-07,17.670000,18.000000,17.469999,17.850000,17.780680,198400
2020-07-08,17.820000,17.820000,17.400000,17.600000,17.531651,186400
2020-07-09,17.490000,17.570000,16.740000,17.110001,17.043554,175700
2020-07-10,17.080000,17.580000,17.080000,17.570000,17.501766,83000
2020-07-13,17.879999,18.389999,17.750000,17.850000,17.780680,172900
2020-07-14,17.940001,18.180000,17.750000,18.080000,18.009787,97000
2020-07-15,18.340000,18.980000,18.340000,18.730000,18.657263,151700
2020-07-16,18.650000,19.030001,18.469999,18.950001,18.876410,124100
2020-07-17,18.959999,19.049999,18.459999,18.559999,18.487923,90400
2020-07-20,18.389999,18.430000,17.790001,18.080000,18.009787,130500
2020-07-21,18.299999,18.820000,18.090000,18.580000,18.507845,113300
2020-07-22,18.430000,18.820000,18.320000,18.750000,18.677185,99900
2020-07-23,18.920000,19.610001,18.809999,19.400000,19.324659,390800
2020-07-24,19.450001,19.629999,18.770000,18.900000,18.826601,67000
2020-07-27,18.940001,19.469999,18.629999,19.420000,19.344584,100600
2020-07-28,19.299999,19.959999,18.910000,19.650000,19.573689,144500
2020-07-29,21.870001,23.900000,21.450001,23.299999,23.209515,369500
2020-07-30,22.920000,23.170000,22.250000,23.100000,23.010292,216100
2020-07-31,22.770000,22.879999,21.200001,22.110001,22.024137,235800
2020-08-03,22.420000,22.459999,21.780001,22.250000,22.163593,176200
