YEAR,STATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1978,CHE209_Chesterfield,9.32,1.29,2.7,1.27,4.57,3.79,2.71,6.46,0.98,2.13,2.17,4.19
1979,CHE209_Chesterfield,10.43,2.22,3.78,5.34,6.95,1.79,3.82,2.53,5.1,5.97,3.99,1.74
1980,CHE209_Chesterfield,1.06,1.2,9.8,5.45,2.05,4.59,3.06,1.85,1.71,3.58,3.82,1.28
1981,CHE209_Chesterfield,0.05,11.6,0.41,2.66,3.03,2.06,4.1,1.85,3.04,5.27,2.29,4.71
1982,CHE209_Chesterfield,4.42,3.46,3.1,4.11,3.19,10.26,3.79,2.21,2.39,1.99,2.96,1.57
1983,CHE209_Chesterfield,5.63,3.94,7.35,11.05,6.15,3.13,1.87,3.32,1.94,4.15,6.63,6.92
1984,CHE209_Chesterfield,2.22,6.89,4.95,6.27,12.27,2.61,4.44,1.58,1.52,3.03,4.07,2.35
1985,CHE209_Chesterfield,1.22,2.17,3.09,0.63,4.75,4.14,4.27,3.93,7.1,2.55,6.7,2.14
1986,CHE209_Chesterfield,4.89,3.52,3.68,1.46,2.71,5.0,6.83,2.45,1.78,2.73,6.08,6.17
1987,CHE209_Chesterfield,4.74,0.79,3.92,7.72,1.67,3.11,3.82,5.21,8.1,4.84,3.39,1.68
1988,CHE209_Chesterfield,2.41,3.87,2.3,3.32,4.78,1.3,8.17,4.65,1.87,3.67,8.38,1.23
1989,CHE209_Chesterfield,1.53,2.2,3.21,3.77,8.88,5.59,3.98,5.57,4.34,8.72,2.86,1.58
1990,CHE209_Chesterfield,3.89,4.61,4.16,4.37,8.18,2.82,2.15,9.87,3.5,7.0,3.43,5.08
1991,CHE209_Chesterfield,3.05,1.36,4.24,4.01,4.68,2.4,1.51,7.85,6.96,4.02,5.19,3.46
1992,CHE209_Chesterfield,2.43,2.02,5.0,3.37,3.62,5.66,5.74,6.19,2.8,2.66,5.04,5.47
1993,CHE209_Chesterfield,2.37,3.16,7.11,5.94,1.91,1.6,1.95,2.27,3.87,4.17,3.27,4.64
1994,CHE209_Chesterfield,5.18,3.27,5.93,3.75,4.33,2.16,4.99,4.85,4.26,1.08,3.82,5.56
1995,CHE209_Chesterfield,4.35,2.92,2.16,2.65,1.74,3.68,7.04,2.02,3.07,12.3,6.31,2.8
1996,CHE209_Chesterfield,8.17,3.07,3.0,7.73,5.08,5.85,7.81,3.85,8.1,6.83,4.67,7.89
1997,CHE209_Chesterfield,3.4,2.3,4.18,4.55,4.71,0.94,4.85,6.23,3.77,2.38,8.37,2.9
1998,CHE209_Chesterfield,4.88,2.64,4.52,3.23,5.53,8.49,3.3,1.33,2.59,5.29,2.59,1.6
1999,CHE209_Chesterfield,6.87,2.55,6.44,1.14,5.44,4.09,2.52,2.74,11.92,4.59,3.43,2.45
2000,CHE209_Chesterfield,3.45,3.04,3.97,4.88,5.53,10.84,7.66,5.16,4.39,2.56,2.57,4.25
2002,CHE209_Chesterfield,1.31,2.1,3.33,3.7,5.58,4.9,3.58,2.89,2.99,5.86,5.99,3.68
1992,CHRNWS_Charlemont,2.75,1.8,4.84,3.45,2.66,5.27,3.52,4.76,3.35,2.7,4.66,3.67
1995,CHRNWS_Charlemont,3.99,3.19,2.34,2.32,2.88,2.3,4.31,3.12,2.94,12.55,6.15,2.88
1902,CLINWS_Clinton,1.7,5.7,5.76,4.21,2.09,2.13,2.96,3.23,5.68,6.22,0.93,6.81
1903,CLINWS_Clinton,3.31,4.59,6.07,3.21,0.82,12.19,3.45,3.5,2.02,4.23,2.25,4.2
1904,CLINWS_Clinton,4.37,2.3,3.3,8.63,3.1,3.36,3.68,5.21,5.19,1.44,1.45,2.57
1905,CLINWS_Clinton,5.96,1.78,4.29,2.64,1.01,4.92,4.15,3.16,7.07,1.7,2.33,4.26
1906,CLINWS_Clinton,2.51,3.3,5.15,3.18,6.55,6.46,5.8,5.76,2.42,3.01,3.21,4.41
1907,CLINWS_Clinton,2.65,1.91,2.14,3.85,3.37,4.67,2.83,1.47,9.99,5.55,6.46,4.54
1908,CLINWS_Clinton,3.63,3.99,2.97,2.46,5.17,1.17,3.94,6.86,1.19,2.3,1.33,3.49
1909,CLINWS_Clinton,4.11,7.22,4.97,5.39,3.29,3.13,4.03,3.09,4.86,1.52,2.41,4.54
1910,CLINWS_Clinton,6.49,4.57,1.28,2.93,1.77,4.68,1.53,4.07,2.98,1.88,4.52,2.4
1911,CLINWS_Clinton,3.09,2.81,4.28,2.36,1.41,3.11,2.53,5.31,2.98,4.87,2.59,3.39
1912,CLINWS_Clinton,3.31,2.56,6.3,4.36,7.32,0.27,3.51,3.63,2.33,2.78,4.26,5.03
1913,CLINWS_Clinton,3.2,2.76,6.03,4.11,4.0,1.03,1.96,2.03,4.24,6.48,2.73,3.5
1914,CLINWS_Clinton,4.17,4.86,5.61,5.29,3.73,2.0,4.02,3.78,0.25,1.65,3.2,3.74
1915,CLINWS_Clinton,6.27,3.61,0.06,1.7,1.51,2.92,8.38,5.83,1.01,3.42,2.73,5.12
1916,CLINWS_Clinton,1.54,6.37,4.36,3.87,3.3,6.53,5.41,2.14,4.05,1.28,2.86,2.99
1917,CLINWS_Clinton,3.4,2.54,4.93,1.64,3.87,4.79,1.28,6.46,1.12,5.74,1.77,2.7
1918,CLINWS_Clinton,3.52,3.79,2.63,4.11,1.19,4.0,3.24,2.11,8.35,1.26,2.59,3.21
1919,CLINWS_Clinton,2.97,3.63,5.19,2.42,5.78,1.81,6.13,4.08,5.73,2.5,6.79,2.26
1920,CLINWS_Clinton,3.39,6.42,5.04,6.1,4.5,6.79,3.81,2.47,6.35,0.52,5.8,6.54
1921,CLINWS_Clinton,2.37,4.25,3.56,5.2,2.53,3.83,7.17,1.56,1.73,1.7,8.97,2.78
1922,CLINWS_Clinton,2.41,3.41,6.28,1.59,5.08,9.97,5.23,4.31,2.49,2.43,1.46,3.93
1923,CLINWS_Clinton,7.88,2.21,2.7,5.93,1.1,3.62,3.77,1.56,0.79,5.62,6.47,5.12
1924,CLINWS_Clinton,4.31,3.21,3.31,6.95,3.34,1.18,2.69,4.51,5.27,0.04,3.24,1.8
1925,CLINWS_Clinton,4.4,2.32,6.35,3.04,1.96,4.69,3.5,2.39,3.19,4.63,3.23,5.69
1926,CLINWS_Clinton,2.9,5.93,3.4,2.22,2.17,2.48,3.16,2.57,1.4,4.18,4.95,4.2
1927,CLINWS_Clinton,3.07,4.18,1.52,1.98,3.43,1.97,6.12,11.29,3.65,5.99,9.15,6.92
1928,CLINWS_Clinton,2.81,4.15,2.0,5.96,2.78,6.71,3.89,4.09,3.68,2.02,2.54,2.3
1929,CLINWS_Clinton,4.67,4.15,3.72,7.03,4.67,5.51,1.11,0.99,2.14,3.58,3.4,3.89
1930,CLINWS_Clinton,2.13,1.93,4.12,2.01,3.02,2.19,4.18,1.68,1.53,4.67,4.76,2.91
1931,CLINWS_Clinton,3.63,2.82,5.65,3.18,5.59,6.52,2.54,6.26,1.15,2.68,1.28,3.89
1932,CLINWS_Clinton,5.48,3.64,4.87,1.83,1.46,2.87,2.74,5.11,7.86,6.02,4.74,2.28
1933,CLINWS_Clinton,2.45,4.02,6.09,6.07,2.23,1.79,1.79,3.97,10.36,3.01,1.23,3.9
1934,CLINWS_Clinton,4.23,4.66,3.79,3.74,3.98,4.1,2.9,1.94,11.14,4.19,2.57,3.71
1935,CLINWS_Clinton,7.86,3.44,1.18,3.95,2.07,7.03,3.21,1.76,4.25,0.69,5.16,1.26
1936,CLINWS_Clinton,8.0,3.45,10.24,3.3,3.42,2.75,2.8,4.96,3.09,4.2,1.62,8.48
1937,CLINWS_Clinton,5.39,2.11,3.9,5.26,4.03,3.96,2.26,5.27,3.91,4.52,7.78,3.79
1938,CLINWS_Clinton,4.72,2.55,2.82,3.31,3.68,7.06,10.15,2.7,9.65,2.46,3.75,3.44
1939,CLINWS_Clinton,2.62,4.29,5.13,4.24,1.89,3.01,3.23,3.47,2.51,4.51,0.97,3.16
1940,CLINWS_Clinton,3.16,5.6,4.81,5.68,5.28,2.66,3.6,1.32,2.78,1.01,7.2,2.57
1941,CLINWS_Clinton,3.91,2.12,2.72,0.92,2.28,2.03,2.41,2.76,0.53,1.88,3.53,3.26
1942,CLINWS_Clinton,4.3,3.16,7.53,1.4,2.45,5.57,6.4,2.09,2.46,2.65,5.21,6.0
1943,CLINWS_Clinton,3.86,1.49,4.22,3.63,5.08,2.19,4.48,1.76,0.85,6.37,5.08,0.71
1944,CLINWS_Clinton,1.84,2.36,4.93,4.13,0.93,7.22,0.88,3.51,5.64,2.32,5.63,3.84
1945,CLINWS_Clinton,4.89,4.41,2.73,4.14,4.73,5.53,4.6,5.43,1.73,1.92,6.35,5.91
1946,CLINWS_Clinton,3.52,3.53,1.84,2.96,6.89,3.04,2.85,7.23,4.73,0.96,1.23,3.81
1947,CLINWS_Clinton,3.22,2.64,3.43,4.26,5.17,3.81,4.5,6.24,3.82,1.32,5.14,3.71
1948,CLINWS_Clinton,4.06,2.58,3.62,3.19,7.24,5.68,5.2,1.72,0.55,3.47,7.62,1.84
1949,CLINWS_Clinton,3.8,3.75,2.37,5.03,3.6,0.49,1.22,1.31,3.72,2.03,2.54,2.5
1950,CLINWS_Clinton,4.78,4.29,3.6,3.32,1.84,2.01,2.67,2.6,1.72,2.67,4.67,3.65
1951,CLINWS_Clinton,3.54,6.03,4.59,2.47,4.96,2.97,6.41,4.36,1.93,5.38,8.72,5.46
1952,CLINWS_Clinton,4.77,3.8,3.69,4.87,4.2,4.5,1.26,8.35,2.15,1.54,2.08,4.03
1953,CLINWS_Clinton,6.17,3.57,7.74,5.44,4.76,1.83,1.92,1.92,1.23,5.51,4.09,4.45
1954,CLINWS_Clinton,2.8,2.68,3.63,4.64,6.69,2.7,2.64,7.61,8.4,3.35,6.21,5.94
1955,CLINWS_Clinton,0.65,3.62,5.02,3.46,0.72,5.3,3.87,15.39,1.86,9.15,5.24,0.82
1956,CLINWS_Clinton,7.23,4.78,6.6,3.19,2.23,2.04,2.98,2.03,4.46,2.71,3.26,4.94
1957,CLINWS_Clinton,2.33,1.33,2.6,3.05,3.31,2.48,0.39,1.64,1.04,2.48,4.91,6.4
1958,CLINWS_Clinton,9.07,3.78,3.47,5.56,3.18,1.97,4.73,3.5,5.82,2.61,4.03,2.03
1959,CLINWS_Clinton,3.89,2.86,5.48,4.68,0.61,4.99,7.55,4.94,1.6,6.19,4.92,4.61
1960,CLINWS_Clinton,3.61,4.76,4.33,3.46,5.04,3.87,6.93,1.8,5.43,3.5,3.36,3.48
1961,CLINWS_Clinton,2.72,3.23,4.42,5.17,3.23,2.46,3.77,3.65,6.19,2.51,4.12,4.92
1962,CLINWS_Clinton,3.53,5.78,3.19,2.7,2.38,2.54,2.3,3.47,4.81,8.4,3.15,4.17
1963,CLINWS_Clinton,3.76,3.3,4.67,1.73,2.73,2.78,1.33,2.1,4.0,1.5,8.47,2.58
1964,CLINWS_Clinton,5.73,3.3,3.41,3.36,1.31,2.46,2.8,3.12,2.03,1.82,2.76,3.9
1965,CLINWS_Clinton,1.86,3.47,2.29,2.73,1.9,2.96,1.23,2.08,2.37,2.27,2.5,2.31
1966,CLINWS_Clinton,4.19,3.99,1.74,1.45,2.86,2.22,2.11,0.9,5.87,3.46,4.75,3.07
1967,CLINWS_Clinton,2.14,3.43,4.26,4.66,6.99,3.82,3.47,4.75,2.57,1.44,3.11,6.6
1968,CLINWS_Clinton,2.82,1.34,6.73,1.72,4.29,8.5,1.61,0.63,1.5,1.69,7.54,6.54
1969,CLINWS_Clinton,1.29,5.03,3.02,3.69,2.08,1.49,5.45,2.69,5.17,1.37,6.78,8.1
1970,CLINWS_Clinton,0.99,6.28,3.71,3.57,3.64,4.54,0.94,4.65,3.25,3.58,4.13,4.79
1971,CLINWS_Clinton,2.11,5.03,1.98,1.75,5.55,1.55,5.42,4.1,2.78,3.4,5.09,2.79
1972,CLINWS_Clinton,2.49,5.49,7.67,3.75,7.82,5.89,3.86,1.87,4.36,3.74,8.7,7.31
1973,CLINWS_Clinton,2.81,3.1,4.03,7.15,4.59,6.23,2.27,4.27,2.42,3.56,1.82,8.33
1974,CLINWS_Clinton,4.13,2.99,5.4,4.49,4.19,3.76,2.13,2.65,9.11,2.75,2.73,5.14
1975,CLINWS_Clinton,5.31,4.55,3.84,2.27,1.83,2.83,3.65,5.37,7.28,6.04,5.39,5.16
1976,CLINWS_Clinton,5.66,2.94,3.57,2.89,3.41,2.73,3.5,5.58,2.33,5.3,0.56,2.74
1977,CLINWS_Clinton,3.39,2.71,5.67,5.43,3.06,3.87,2.92,6.96,6.45,6.24,6.82,3.82
1978,CLINWS_Clinton,7.73,2.46,3.59,2.15,4.19,3.06,3.41,4.91,1.72,3.61,3.19,3.7
1979,CLINWS_Clinton,12.97,3.37,3.92,4.86,4.94,1.33,5.38,8.65,4.14,4.89,3.85,1.84
1980,CLINWS_Clinton,0.96,1.31,7.43,6.44,2.95,3.05,4.34,2.27,1.66,4.48,4.58,1.24
1981,CLINWS_Clinton,0.64,7.16,0.63,4.0,3.43,3.33,5.59,0.52,4.87,4.46,3.4,6.21
1982,CLINWS_Clinton,6.04,2.43,3.44,3.47,3.5,11.8,5.68,3.12,2.69,3.19,3.34,1.44
1983,CLINWS_Clinton,5.44,4.58,8.96,7.6,4.29,2.78,2.42,2.41,2.21,3.97,8.73,5.76
1984,CLINWS_Clinton,1.56,5.44,4.64,5.54,9.92,3.53,4.45,0.78,1.68,3.72,1.63,3.16
1985,CLINWS_Clinton,0.94,2.46,2.7,1.18,4.35,3.93,5.73,4.39,3.52,2.68,5.79,2.09
1986,CLINWS_Clinton,4.6,3.04,3.77,1.75,2.12,6.12,4.24,3.21,1.07,2.14,6.08,7.39
1987,CLINWS_Clinton,4.84,0.23,2.62,12.64,1.15,3.8,0.9,3.33,5.71,3.58,2.69,2.15
1988,CLINWS_Clinton,2.73,3.88,3.13,3.69,2.81,0.56,7.61,2.51,2.59,3.31,7.28,1.51
1989,CLINWS_Clinton,1.02,2.49,2.53,4.13,6.79,4.71,5.04,7.47,3.73,6.37,3.28,1.15
1990,CLINWS_Clinton,3.3,4.08,1.84,2.99,7.8,1.15,2.51,6.82,1.04,8.79,4.34,4.34
1991,CLINWS_Clinton,2.77,2.0,4.02,5.56,3.26,2.37,3.37,8.13,6.51,5.47,4.57,4.31
1992,CLINWS_Clinton,2.63,2.09,4.0,2.76,4.24,3.85,4.51,6.33,2.79,2.14,4.61,5.05
1993,CLINWS_Clinton,3.67,3.32,6.26,4.55,1.57,1.75,1.2,2.08,7.71,4.05,3.48,4.86
1994,CLINWS_Clinton,3.26,2.14,4.98,2.31,5.26,2.73,2.11,5.65,3.78,1.37,3.76,3.08
1995,CLINWS_Clinton,3.5,3.19,1.75,1.87,1.94,2.46,3.31,1.56,2.89,8.02,5.7,2.66
1998,CLINWS_Clinton,5.25,3.8,6.57,3.19,5.44,8.29,2.39,3.28,1.51,5.27,2.58,1.45
1999,CLINWS_Clinton,4.02,3.7,4.53,1.2,2.06,0.52,2.72,3.55,8.31,3.5,2.99,2.07
2000,CLINWS_Clinton,3.1,2.59,3.48,6.47,2.75,5.02,5.15,2.25,2.81,2.03,3.243,3.46
1936,COH726_Cohasset,5.73,2.65,7.08,4.31,2.28,2.95,2.16,7.05,9.31,1.56,1.77,10.02
1937,COH726_Cohasset,4.82,1.16,3.38,5.25,2.91,4.19,0.96,5.88,6.84,4.69,5.51,3.86
1938,COH726_Cohasset,3.8,1.99,2.82,2.18,4.95,8.76,8.38,2.37,6.91,3.97,2.95,3.5
1939,COH726_Cohasset,2.32,3.93,3.69,3.72,1.27,3.29,0.77,2.95,1.95,5.85,2.19,2.1
1940,COH726_Cohasset,1.75,4.65,3.5,7.42,4.69,2.88,3.89,2.32,4.41,2.17,7.14,3.0
1941,COH726_Cohasset,3.88,1.9,1.97,2.7,3.48,3.25,2.95,3.99,0.34,2.02,2.26,3.45
1942,COH726_Cohasset,3.68,3.14,8.09,1.26,1.91,4.24,5.0,2.54,2.71,4.2,7.74,4.46
1943,COH726_Cohasset,3.03,1.61,3.22,3.42,6.12,2.22,3.96,1.55,2.89,4.2,3.79,1.42
1944,COH726_Cohasset,2.59,1.99,4.6,4.01,0.3,4.28,1.28,0.65,8.75,4.18,7.49,3.8
1945,COH726_Cohasset,3.9,3.81,2.37,2.61,5.72,5.73,2.93,5.78,2.7,4.07,10.0,10.88
1946,COH726_Cohasset,4.42,3.4,1.47,2.97,5.04,4.37,1.47,11.27,2.89,0.42,1.08,4.71
1947,COH726_Cohasset,3.07,0.96,3.06,4.67,4.57,5.87,5.3,2.54,5.68,3.31,5.94,4.27
1948,COH726_Cohasset,6.11,1.98,2.94,2.65,7.22,4.65,7.17,2.88,1.23,6.88,6.61,1.8
1949,COH726_Cohasset,3.88,3.72,1.62,3.5,4.16,0.41,3.19,2.25,4.06,1.61,4.12,2.0
1950,COH726_Cohasset,4.08,3.39,3.27,3.75,1.7,2.54,1.84,8.42,2.0,1.81,7.16,3.58
1951,COH726_Cohasset,5.59,3.27,4.56,3.0,7.12,3.56,1.81,4.76,2.47,3.85,7.47,4.07
1952,COH726_Cohasset,5.04,5.47,3.93,5.03,3.91,4.19,0.25,4.9,1.69,3.02,2.15,4.59
1953,COH726_Cohasset,6.49,4.49,9.25,6.62,3.88,0.86,5.8,3.68,5.2,6.82,6.77,5.64
1954,COH726_Cohasset,3.15,3.33,3.41,4.72,11.3,4.25,3.51,5.86,8.86,3.78,5.12,6.38
1955,COH726_Cohasset,0.89,4.41,3.81,6.36,1.25,2.46,4.02,18.78,2.59,7.0,7.32,1.04
1956,COH726_Cohasset,7.61,4.29,5.1,2.59,2.9,2.34,5.13,1.7,4.35,5.43,3.66,8.14
1957,COH726_Cohasset,3.59,1.53,3.48,3.4,3.0,2.37,0.76,2.71,0.87,3.48,5.8,5.09
1958,COH726_Cohasset,8.17,4.42,3.22,8.3,4.49,1.69,4.41,5.63,6.42,4.13,3.51,2.27
1959,COH726_Cohasset,2.1,3.9,6.41,4.7,1.98,8.82,7.81,3.3,1.11,6.23,5.22,4.86
1961,COH726_Cohasset,2.79,2.49,3.66,2.87,4.66,1.49,2.44,3.06,7.88,4.92,4.27,3.56
1962,COH726_Cohasset,2.9,2.18,4.16,4.38,1.75,3.21,2.28,4.37,4.07,9.18,4.55,4.26
1963,COH726_Cohasset,4.09,3.994,5.2,1.47,3.68,2.67,3.06,2.94,5.63,2.14,7.65,3.62
1964,COH726_Cohasset,4.92,5.05,3.26,5.29,1.0,1.85,4.5,1.7,4.1,4.32,2.74,6.17
1965,COH726_Cohasset,2.6,3.17,2.49,2.95,0.81,2.93,2.49,1.05,2.66,3.99,2.65,2.17
1966,COH726_Cohasset,4.79,4.78,1.83,1.75,3.98,2.54,4.22,2.64,7.21,4.4,5.74,4.46
1967,COH726_Cohasset,2.57,2.94,4.55,4.85,10.11,3.85,4.48,3.74,3.55,1.57,3.01,7.82
1968,COH726_Cohasset,3.76,1.78,9.81,2.43,3.76,6.88,0.65,2.24,1.57,3.0,8.33,7.01
1969,COH726_Cohasset,2.1,7.74,4.15,4.72,2.81,1.69,4.15,2.78,4.85,2.11,10.52,11.27
1970,COH726_Cohasset,1.12,6.25,4.71,2.35,3.1,4.38,0.99,5.18,2.7,3.55,5.52,5.98
1971,COH726_Cohasset,1.91,4.92,3.02,3.37,4.61,1.34,3.18,2.12,1.92,2.22,8.57,2.66
1972,COH726_Cohasset,2.11,6.1,7.64,3.68,6.5,5.36,2.71,1.38,8.99,3.8,8.93,7.57
1973,COH726_Cohasset,2.9,2.55,2.45,7.05,2.43,5.15,4.28,3.29,4.38,3.7,2.16,9.52
1974,COH726_Cohasset,4.8,2.99,4.24,4.57,2.76,2.41,2.15,7.97,7.59,3.39,1.84,3.66
1975,COH726_Cohasset,6.42,3.98,3.27,2.93,1.88,2.8,3.91,6.2,7.44,6.33,5.81,6.01
1976,COH726_Cohasset,6.33,3.12,3.17,2.24,2.37,1.74,2.34,7.67,1.57,7.09,1.01,2.46
1977,COH726_Cohasset,5.62,2.51,5.19,4.07,2.75,5.5,1.88,2.88,5.13,6.78,4.76,5.57
1978,COH726_Cohasset,8.08,2.17,2.6,2.07,6.09,2.17,2.24,4.43,1.01,3.03,3.24,4.7
1979,COH726_Cohasset,12.093,4.63,3.37,4.18,5.21,1.56,1.79,5.2,4.08,6.26,5.02,1.62
1980,COH726_Cohasset,1.01,0.99,6.54,5.51,1.86,2.92,2.26,2.29,0.48,4.67,3.58,1.72
1981,COH726_Cohasset,2.63,8.11,1.08,3.86,1.62,2.64,5.88,1.68,4.08,3.81,7.2,6.57
1982,COH726_Cohasset,7.07,2.11,2.96,3.81,2.84,13.59,4.27,1.99,2.12,4.27,3.74,2.28
1983,COH726_Cohasset,5.47,5.93,14.44,9.4,3.47,1.66,1.13,7.38,1.58,3.21,10.64,5.91
1984,COH726_Cohasset,3.0,8.83,7.43,4.87,8.05,4.83,4.56,1.39,1.49,7.53,1.39,3.64
1985,COH726_Cohasset,1.31,2.5,3.41,1.04,3.86,3.86,4.06,3.04,3.41,2.46,7.2,1.48
1986,COH726_Cohasset,5.8,3.72,2.82,1.93,2.13,7.11,4.67,4.18,0.87,3.55,6.55,7.23
1987,COH726_Cohasset,7.92,0.67,6.07,9.43,2.76,1.77,1.11,4.44,6.31,4.03,5.07,3.1
1988,COH726_Cohasset,3.17,4.79,4.26,1.88,5.15,2.15,8.26,2.44,1.49,2.86,8.25,1.08
1989,COH726_Cohasset,1.0,3.78,4.38,4.54,5.39,4.2,6.42,8.44,4.54,7.69,5.83,1.59
1990,COH726_Cohasset,5.4,5.16,2.3,5.67,7.53,1.23,5.46,5.28,3.96,5.71,3.32,3.98
1993,COH726_Cohasset,3.35,6.13,7.6,6.82,1.24,1.82,1.94,1.64,5.18,3.71,2.91,7.7
1996,COH726_Cohasset,5.77,4.22,4.02,5.99,3.08,1.69,4.98,2.03,7.4,12.19,2.92,7.58
1998,COH726_Cohasset,9.67,9.84,5.39,4.23,8.67,11.91,2.71,5.06,1.86,6.34,1.71,0.63
1999,COH726_Cohasset,7.11,6.61,3.31,1.51,6.58,0.27,5.13,2.73,8.38,5.4,2.37,2.18
2000,COH726_Cohasset,4.31,3.86,4.91,6.73,3.22,7.11,7.27,3.02,2.85,2.91,4.65,3.92
2002,COH726_Cohasset,3.11,2.93,4.6,3.61,6.33,5.26,3.18,2.75,5.24,4.91,7.93,6.98
2003,COH726_Cohasset,2.93,5.77,6.18,6.68,4.79,5.18,2.78,4.5,1.7,7.43,2.87,6.89
2004,COH726_Cohasset,1.48,2.02,2.09,9.65,3.07,2.56,6.36,7.71,7.37,2.86,4.28,4.78
2006,COH726_Cohasset,7.58,2.58,0.44,2.07,14.94,14.8,3.96,3.59,2.0,4.6,8.98,1.64
2007,COH726_Cohasset,3.19,4.46,6.3,9.05,3.74,1.78,2.12,0.82,2.45,4.25,3.29,6.84
2008,COH726_Cohasset,3.28,7.3,5.29,3.45,2.51,3.32,5.37,2.71,8.53,1.73,4.41,8.86
2009,COH726_Cohasset,4.96,2.22,3.68,4.41,4.06,3.56,8.28,4.76,4.16,7.24,3.14,6.15
2010,COH726_Cohasset,4.18,3.57,15.74,2.15,3.12,1.38,1.81,6.3,2.92,5.63,3.89,3.64
2011,COH726_Cohasset,4.52,4.03,2.2,6.17,3.84,4.46,3.68,5.43,5.13,10.13,4.08,3.51
2012,COH726_Cohasset,3.36,0.86,2.37,3.03,4.28,5.19,2.63,3.51,2.88,4.84,1.83,6.46
2016,COH726_Cohasset,3.78,5.5,3.76,3.25,3.16,1.2,1.15,1.53,1.62,8.42,2.23,3.47
2017,COH726_Cohasset,6.64,4.68,3.84,7.67,4.85,5.74,4.02,1.66,1.88,5.1,2.45,3.39
2018,COH726_Cohasset,5.21,4.48,7.18,5.29,2.58,2.78,2.71,2.29,7.61,7.93,12.27,2.97
1976,COLNWS_Colrain,4.36,3.34,3.37,3.86,4.6,2.76,3.08,7.23,3.35,5.31,1.38,2.45
1977,COLNWS_Colrain,2.65,3.2,6.93,4.48,3.29,5.42,2.06,4.83,5.74,6.57,5.83,6.23
1978,COLNWS_Colrain,8.82,0.75,2.34,2.07,3.81,5.8,2.73,3.83,2.44,3.22,2.42,4.58
1979,COLNWS_Colrain,11.45,2.41,4.04,6.18,7.71,1.08,5.57,3.79,4.93,4.89,3.71,2.18
1980,COLNWS_Colrain,0.94,1.25,7.23,5.54,1.73,5.59,2.47,1.48,2.63,4.57,3.8,1.43
1981,COLNWS_Colrain,0.72,11.06,0.92,2.93,2.26,3.0,5.38,2.02,2.82,4.44,1.71,4.82
1982,COLNWS_Colrain,4.18,4.33,3.68,5.82,2.49,9.15,3.84,2.42,3.09,1.45,3.21,1.83
1983,COLNWS_Colrain,5.56,3.42,8.69,9.02,5.86,2.56,3.71,3.67,2.06,3.85,8.07,7.38
1984,COLNWS_Colrain,2.52,6.84,5.53,7.95,13.01,1.76,7.82,1.68,1.35,3.23,3.71,3.94
1985,COLNWS_Colrain,1.33,2.41,3.78,2.14,3.29,3.75,2.5,6.05,6.17,2.48,7.99,2.72
1986,COLNWS_Colrain,5.39,3.4,4.75,1.74,2.66,6.45,5.59,3.78,3.24,3.31,6.49,7.01
1987,COLNWS_Colrain,4.47,0.08,2.96,7.92,2.13,4.64,2.63,3.2,7.16,6.15,2.65,2.84
1988,COLNWS_Colrain,2.58,4.73,2.85,3.95,3.95,1.79,8.06,4.08,1.96,4.5,7.29,1.67
1989,COLNWS_Colrain,1.67,2.63,3.07,3.73,7.54,6.92,3.89,4.98,3.31,7.15,5.4,1.42
1990,COLNWS_Colrain,4.92,4.25,3.84,5.06,7.37,2.87,1.75,9.44,2.4,6.56,3.54,5.18
1991,COLNWS_Colrain,3.43,2.09,4.27,3.97,4.04,3.64,3.28,7.66,7.22,4.35,4.69,4.47
1992,COLNWS_Colrain,2.81,2.34,4.53,2.92,2.48,6.59,4.05,4.36,4.11,2.83,4.82,3.77
1906,DAL104_Dalton,2.08,2.04,4.97,3.55,4.36,2.36,5.38,3.94,3.62,3.26,2.26,2.45
1907,DAL104_Dalton,3.25,1.72,1.13,2.07,3.86,3.67,2.36,1.91,8.07,7.52,4.21,3.69
1908,DAL104_Dalton,3.07,3.16,2.94,2.35,5.1,2.37,5.51,4.19,0.97,1.52,0.71,2.78
1909,DAL104_Dalton,4.0,5.25,4.04,3.92,2.02,3.0,1.7,3.49,3.63,1.16,1.83,1.95
1910,DAL104_Dalton,5.24,4.07,0.91,3.68,4.16,2.78,2.82,2.91,4.75,1.16,3.73,2.08
1911,DAL104_Dalton,3.08,1.72,3.84,2.2,2.39,2.0,2.92,5.38,3.67,6.22,2.55,3.17
1912,DAL104_Dalton,2.04,1.79,4.52,5.22,5.73,1.51,2.81,5.32,3.4,3.65,4.42,4.36
1913,DAL104_Dalton,4.73,2.77,6.7,3.36,3.3,1.28,2.71,2.65,2.87,5.33,4.21,2.62
1914,DAL104_Dalton,2.57,1.78,4.94,5.97,2.75,2.52,3.73,3.32,0.41,1.38,2.14,2.87
1915,DAL104_Dalton,4.03,5.21,0.17,2.29,1.69,3.38,10.86,6.57,2.89,1.95,1.96,6.73
1916,DAL104_Dalton,2.82,3.65,3.95,3.31,2.53,3.71,5.24,2.29,5.73,0.98,4.33,3.02
1917,DAL104_Dalton,3.6,2.47,3.95,1.7,2.38,4.12,2.84,2.02,0.91,6.84,0.62,1.81
1918,DAL104_Dalton,2.98,2.76,3.06,3.13,3.57,3.21,1.96,2.84,6.22,3.39,2.5,3.45
